[2024-07-09 02:25:15.776]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:25:15.786]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:25:16.115]	 Installing "tmux-cpu"
[2024-07-09 02:25:16.473]	   "tmux-cpu" download success
[2024-07-09 02:25:16.483]	 Done.

[2024-07-09 02:29:43.491]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:29:43.501]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:29:43.674]	 Already installed "tmux-cpu"
[2024-07-09 02:29:43.684]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:29:44.053]	 Updating all plugins!
[2024-07-09 02:29:44.053]	 
[2024-07-09 02:29:44.488]	   "tmux-cpu" update success
[2024-07-09 02:29:44.491]	     | Already up to date.
[2024-07-09 02:29:44.501]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:29:44.663]	 Done.

[2024-07-09 02:34:08.299]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:34:08.310]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:34:08.533]	 Already installed "tmux-cpu"
[2024-07-09 02:34:08.552]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:34:08.700]	 Updating all plugins!
[2024-07-09 02:34:08.701]	 
[2024-07-09 02:34:09.015]	   "tmux-cpu" update success
[2024-07-09 02:34:09.018]	     | Already up to date.
[2024-07-09 02:34:09.029]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:34:09.080]	 Done.

[2024-07-09 02:36:16.758]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:36:16.768]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:36:16.869]	 Already installed "tmux-cpu"
[2024-07-09 02:36:16.880]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:36:16.957]	 Updating all plugins!
[2024-07-09 02:36:16.957]	 
[2024-07-09 02:36:17.298]	   "tmux-cpu" update success
[2024-07-09 02:36:17.300]	     | Already up to date.
[2024-07-09 02:36:17.311]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:36:17.358]	 Done.

[2024-07-09 02:38:22.526]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:38:22.537]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:38:22.644]	 Already installed "tmux-cpu"
[2024-07-09 02:38:22.655]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:38:22.719]	 Updating all plugins!
[2024-07-09 02:38:22.719]	 
[2024-07-09 02:38:23.159]	   "tmux-cpu" update success
[2024-07-09 02:38:23.162]	     | Already up to date.
[2024-07-09 02:38:23.174]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:38:23.224]	 Done.

[2024-07-09 02:39:10.498]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:39:10.508]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:39:10.677]	 Already installed "tmux-cpu"
[2024-07-09 02:39:10.687]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:39:10.761]	 Updating all plugins!
[2024-07-09 02:39:10.762]	 
[2024-07-09 02:39:11.077]	   "tmux-cpu" update success
[2024-07-09 02:39:11.079]	     | Already up to date.
[2024-07-09 02:39:11.089]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:39:11.136]	 Done.

[2024-07-09 02:40:13.411]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:40:13.422]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:40:13.588]	 Already installed "tmux-cpu"
[2024-07-09 02:40:13.600]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:40:13.681]	 Updating all plugins!
[2024-07-09 02:40:13.681]	 
[2024-07-09 02:40:13.957]	   "tmux-cpu" update success
[2024-07-09 02:40:13.960]	     | Already up to date.
[2024-07-09 02:40:13.970]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:40:14.020]	 Done.

[2024-07-09 02:41:34.550]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:41:34.561]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:41:34.670]	 Already installed "tmux-cpu"
[2024-07-09 02:41:34.680]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:41:34.831]	 Updating all plugins!
[2024-07-09 02:41:34.832]	 
[2024-07-09 02:41:35.171]	   "tmux-cpu" update success
[2024-07-09 02:41:35.173]	     | Already up to date.
[2024-07-09 02:41:35.185]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:41:35.232]	 Done.

[2024-07-09 02:43:21.347]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:43:21.358]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:43:21.473]	 Already installed "tmux-cpu"
[2024-07-09 02:43:21.484]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:43:21.550]	 Updating all plugins!
[2024-07-09 02:43:21.550]	 
[2024-07-09 02:43:21.915]	   "tmux-cpu" update success
[2024-07-09 02:43:21.917]	     | Already up to date.
[2024-07-09 02:43:21.928]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:43:21.979]	 Done.

[2024-07-09 02:45:13.584]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 02:45:13.597]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 02:45:13.733]	 Already installed "tmux-cpu"
[2024-07-09 02:45:13.744]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 02:45:13.973]	 Updating all plugins!
[2024-07-09 02:45:13.973]	 
[2024-07-09 02:45:14.383]	   "tmux-cpu" update success
[2024-07-09 02:45:14.386]	     | Already up to date.
[2024-07-09 02:45:14.396]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 02:45:14.444]	 Done.

[2024-07-09 02:45:29.161]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
